date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation_probability,precipitation,rain,showers,snowfall,cloud_cover,visibility,wind_speed_10m,wind_direction_10m,uv_index,uv_index_clear_sky,is_day,location,key
2024-08-12 00:00:00+00:00,25.1635,42.0,11.346271,24.161148,0.0,0.0,0.0,0.0,0.0,100.0,46400.0,9.6932955,254.93146,0.2,0.2,0.0,New York,New York 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,32.7305,53.0,21.901667,35.80105,0.0,0.0,0.0,0.0,0.0,0.0,35600.0,12.24,118.072395,1.6,1.6,1.0,Houston,Houston 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,24.048,51.0,13.28637,24.011335,0.0,0.0,0.0,0.0,0.0,1.0,38400.0,7.42159,255.96373,0.2,0.2,1.0,Philadelphia,Philadelphia 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,36.276,33.0,17.445095,36.37731,0.0,0.0,0.0,0.0,0.0,71.0,56800.0,17.477621,122.38066,1.95,1.95,1.0,San Antonio,San Antonio 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,24.279999,37.0,8.662593,22.2506,0.0,0.0,0.0,0.0,0.0,10.0,53100.0,11.4862,302.1957,0.95,0.95,1.0,Chicago,Chicago 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,21.967001,86.0,19.51714,24.06971,100.0,0.0,0.0,0.0,0.0,78.0,14300.0,10.44,223.60289,3.85,4.25,1.0,San Diego,San Diego 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,34.7475,47.0,21.781128,37.184757,13.0,0.0,0.0,0.0,0.0,10.0,39700.0,16.09969,116.56499,1.7,1.7,1.0,Dallas,Dallas 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,30.286499,47.0,17.723827,31.481396,0.0,0.0,0.0,0.0,0.0,2.0,38700.0,12.10157,247.249,4.35,4.35,1.0,Los Angeles,Los Angeles 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,22.974,64.0,15.80029,23.49516,0.0,0.0,0.0,0.0,0.0,72.0,25600.0,13.237039,337.6198,4.65,4.75,1.0,San Jose,San Jose 2024-08-12 00:00:00+00:00
2024-08-12 00:00:00+00:00,38.586998,29.0,17.391777,39.93949,0.0,0.0,0.0,0.0,0.0,75.0,62800.0,8.714677,218.2902,3.7,3.7,1.0,Phoenix,Phoenix 2024-08-12 00:00:00+00:00
